Page,Narration
0,"옛날 옛날에, 깊은 숲 속에 헨젤과 그레텔이라는 남매가 살고 있었어요."
1,"헨젤과 그레텔은 아버지, 그리고 새어머니와 함께 작은 집에서 살았어요."
2,"하지만 집은 가난했고, 먹을 것이 점점 줄어들었지요."
3,새어머니는 아이들을 숲에 두고 오자고 했어요. 아버지는 마음이 아팠지만 어쩔 수 없었지요.
4,하지만 똑똑한 헨젤은 몰래 작은 하얀 자갈들을 주머니에 담았어요.
5,"다음 날, 숲으로 들어가던 길에 헨젤은 자갈을 하나씩 떨어뜨렸어요."
6,"밤이 되자, 자갈이 별처럼 빛나며 집으로 가는 길을 보여주었답니다."
7,아이들이 돌아오자 새어머니는 화를 내며 또 숲으로 데려갔어요.
8,이번엔 헨젤이 빵 조각을 조금씩 흘리며 길을 표시했어요.
9,하지만 새들이 와서 빵을 모두 먹어버렸어요. 길이 사라져 버린 거예요.
10,헨젤과 그레텔은 며칠 동안 숲속을 떠돌며 배고프고 지쳤어요.
11,"그러던 어느 날, 달콤한 과자와 사탕으로 지어진 집을 발견했어요!"
12,너무 배고팠던 두 남매는 신나게 집을 조금씩 먹기 시작했지요.
13,하지만 그 집에는 무서운 마녀가 살고 있었답니다!
14,"마녀는 헨젤을 우리에 가두고, 그레텔에게 심부름을 시켰어요."
15,헨젤은 뼈다귀를 내밀어 마녀를 속였어요.
16,화가 난 마녀는 그레텔에게 오븐을 달구라고 명령했어요.
17,"그때, 그레텔이 꾀를 내어 마녀를 오븐 속으로 밀어 넣었어요!"
18,"마녀는 사라지고, 두 남매는 자유롭게 되었답니다."
19,집 안에는 반짝이는 보물이 가득했어요. 아이들은 그것을 담아 집으로 돌아갔지요.
20,아버지는 두 아이를 꼭 껴안으며 다시는 놓치지 않겠다고 다짐했어요.